Title,Category,Companies/Sources,Notes
Research Scientist Interpretability,Research,"Anthropic, Google DeepMind",Core mechanistic interpretability research
Research Engineer Interpretability,Research,Anthropic,
Research Manager Interpretability,Research,Anthropic,Listed as Expression of Interest
Research Scientist Alignment,Research,"Anthropic, OpenAI",Validates models are harmless and honest
Research Engineer Alignment,Research,Anthropic,SF and London
Researcher Alignment Oversight,Research,OpenAI,Scalable oversight and control techniques
Research Engineer Superalignment,Research,OpenAI,Scalable oversight and automated interpretability
Member of Technical Staff,Research,"OpenAI, Anthropic, Cohere, Mistral, xAI, Microsoft",Spans specializations e.g. Post-Training Modeling Search Agent Code
Research Scientist Generative Models,Research,Meta,
Research Scientist FAIR,Research,Meta,FAIR expands to Fundamental AI Research; title string itself omits AI
Research Scientist World Models,Research,Google DeepMind,
Research Scientist Reasoning,Research,Google DeepMind,
Research Scientist Agent Post-Training,Research,Google DeepMind,
Research Scientist Recommendation Systems,Research,Google DeepMind,
Applied Scientist,Research,"Amazon, Mistral",
Research Engineer,Research,"Anthropic, Cohere, Mistral","General title spanning many internal teams e.g. Agents, Computer Use, Discovery, Domain Scaling, Universes, Visual Knowledge Work, Knowledge Foundations"
Research Engineer Pretraining,Research,Anthropic,Includes Pretraining Scaling
Research Engineer Reinforcement Learning,Research,Anthropic,"Covers sub-teams e.g. Code RL, Chip Design RL, Cybersecurity RL, Performance RL, RL Scaling Science"
Research Engineer Model Evaluations,Research,Anthropic,
Research Resident,Research,OpenAI,Six month program roughly 210 to 220K per year
Anthropic Fellow,Research,Anthropic,Fellowship across Alignment RL and ML Systems and Performance
Research Scientist Speech and Audio,Research,Meta FAIR,
Research Scientist Generative Vision,Research,Meta FAIR,
LLM Engineer,Engineering,"Widespread, startups and fintechs",Often paid a premium vs AI Engineer for similar RAG work
Forward Deployed Engineer,Engineering,"OpenAI, Anthropic, Palantir, Cohere, Mistral, Databricks, Ramp, Cursor",Postings rose 729 percent year over year per Indeed data
Forward Deployed Machine Learning Engineer,Engineering,Mistral,
Forward Deployed Software Engineer,Engineering,"Palantir and adopters",Variant of Forward Deployed Engineer
Context Engineer,Engineering,Emerging,Owns RAG curation and agent context files
Agent Engineer,Engineering,Widespread,Builds agentic systems
RAG Engineer,Engineering,Widespread,Increasingly treated as a skill rather than a standalone title
LLMOps Engineer,Engineering,Widespread,LLM analog of MLOps
Inference Engineer,Engineering,"Frontier labs, NVIDIA, startups",Makes models fast affordable and reliable
Performance Engineer Inference Systems,Engineering,Anthropic,GPU and inference systems performance
Compiler Engineer Inference,Engineering,NVIDIA,Kernel generation and computational graph optimizations
GPU Kernel Compiler Engineer,Engineering,NVIDIA,
Inference Performance Engineer,Engineering,NVIDIA,TensorRT-LLM SGLang vLLM
TPU Kernel Engineer,Engineering,Anthropic,
Machine Learning Infrastructure Engineer,Engineering,Anthropic,Safeguards Research team
Software Engineer Reinforcement Learning,Engineering,Anthropic,"Covers RL Data, Environments Infrastructure, and related RL infrastructure roles"
Model Performance Software Engineer,Engineering,Anthropic,Claude Code team
Engineering Manager Inference,Engineering,Anthropic,
Engineering Manager Agent Runtime Platform,Engineering,Anthropic,
Software Engineer Research Infrastructure,Engineering,Anthropic,Includes Research Tools
Evals Infrastructure Tech Lead,Engineering,Anthropic,
Full Stack Engineer Human Data Team,Engineering,xAI,
Harness Engineer,Engineering,Emerging,Builds agent evaluation harnesses
Solutions Architect,Product,"Anthropic Applied team, Cohere",
Research Product Manager Model Behaviors,Product,Anthropic,Defines and shapes Claude's character
Research Product Manager Labs,Product,Anthropic,
Product Manager Research,Product,Anthropic,
Research Engineer Model Experience,Product,OpenAI,Shapes default character and behavior of ChatGPT
Prompt Engineer,Product,Widespread,Declining as a standalone title
Conversation Designer,Product,Widespread,"Also called VUI Designer, Chatbot Designer, Dialogue Writer"
Developer Advocate Generative Models,Product,"NVIDIA, AWS, Databricks",
Developer Relations Manager Generative Models,Product,NVIDIA,
Technical Enablement Lead,Product,Anthropic,Claude Platform team
Technical Specialist,Product,Anthropic,Claude Code team
Alignment Researcher,Safety,"Anthropic, OpenAI, Redwood",
Alignment Auditing Researcher,Safety,AI Alignment Forum affiliated,Builds tools to increase auditing agent performance
Scalable Oversight Researcher,Safety,"Scale AI SEAL, OpenAI, Anthropic",Roughly 176K to 300K at Scale
Automated Alignment Researcher,Safety,Anthropic,
Research Engineer Model Welfare,Safety,Anthropic,Evaluates potential welfare and moral status of AI systems
Research Scientist Societal Impacts,Safety,Anthropic,Uses Clio to analyze usage
Research Engineer Safeguards,Safety,Anthropic,
Research Scientist Biological Safety,Safety,Anthropic,
Research Engineer Frontier Safety Risk Assessment,Safety,Google DeepMind,Roughly 136K to 245K base
Operational Ethics and Safety Manager,Safety,Google DeepMind,ReDI team
Head of Preparedness,Safety,OpenAI,Capability evaluations threat models and mitigations
Model Behavior Architect,Safety,Anthropic,Alignment RL and finetuning team
Red Team Engineer Safeguards,Red Teaming and Evaluations,Anthropic,
Lead Frontier Red Team,Red Teaming and Evaluations,Anthropic,Cyber specialization
Research Scientist Frontier Red Team,Red Teaming and Evaluations,Anthropic,"Covers Emerging Risks, CBRN, Autonomy"
Research Engineer Frontier Red Team,Red Teaming and Evaluations,Anthropic,RSP Evaluations
