Job Title,Category,Seniority Level,Domain Focus,Sources,Source Count,keyword
3D Modeling AI Engineer,3D Graphics,,,claude_web,1,3d modeling ai engineer
Accountability AI Specialist,Accountability,,,claude_web,1,accountability ai specialist
Actuarial AI Analyst,Insurance,,,claude_web,1,actuarial ai analyst
Adversarial AI Researcher,Robustness,,,claude_web,1,adversarial ai researcher
Agent Engineer,Core AI/ML Engineering,,,claude_web,1,agent engineer
Agent Systems Engineer,Agentic Systems,,,claude_web,1,agent systems engineer
Agentic AI Architect,Architecture & Design,Principal,Agentic Frameworks,gemini,1,agentic ai architect
Agentic AI Engineer,Core AI/ML Engineering,,,claude_web;expanded,2,agentic ai engineer
Agentic AI Governance Lead,,,,expanded,1,agentic ai governance lead
Agentic AI Product Manager,,,,expanded,1,agentic ai product manager
Agentic AI Research Engineer,Agentic Systems,,,claude_web,1,agentic ai research engineer
Agentic AI Risk Analyst,,,,expanded,1,agentic ai risk analyst
Agentic AI Specialist,Agentic Systems,,,claude_web;expanded,2,agentic ai specialist
AgentOps Engineer,MLOps/Infrastructure,,,claude_web,1,agentops engineer
Agricultural AI Engineer,Agriculture,,,claude_web,1,agricultural ai engineer
AI A/B Testing Specialist,Testing,,,claude_web,1,ai a b testing specialist
AI Acceleration Engineer,Performance,,,claude_web,1,ai acceleration engineer
AI Accelerator Manager,Startup Acceleration,,,claude_web,1,ai accelerator manager
AI Accessibility Auditor,Accessibility,,,claude_web,1,ai accessibility auditor
AI Accessibility Specialist,Accessibility,,,claude_web,1,ai accessibility specialist
AI Account Executive,,,,expanded,1,ai account executive
AI Account Manager,Account Management,,,claude_web,1,ai account manager
AI Accountant,Accounting,,,claude_web,1,ai accountant
AI Accuracy Auditor,Quality Assurance,,,claude_web,1,ai accuracy auditor
AI Acquisition Analyst,Mergers & Acquisitions,,,claude_web,1,ai acquisition analyst
AI Acting Coach,Coaching,,,claude_web,1,ai acting coach
AI Actor,Acting,,,claude_web,1,ai actor
AI Actuary,Insurance,,,claude_web,1,ai actuary
AI Admissions Advisor,Admissions,,,claude_web,1,ai admissions advisor
AI Adoption and Employee Experience Lead,,,,expanded,1,ai adoption and employee experience lead
AI Adoption Manager,,,,expanded,1,ai adoption manager
AI Adoption Specialist,,,,expanded,1,ai adoption specialist
AI Advisor,,,,expanded,1,ai advisor
AI Advisory Board Member,Advisory,,,claude_web,1,ai advisory board member
AI Advocacy Coordinator,Advocacy,,,claude_web,1,ai advocacy coordinator
AI Advocacy Manager,Business & Sales,,,original,1,ai advocacy manager
AI Affiliate Manager,Affiliate,,,claude_web,1,ai affiliate manager
AI Agency Relationship Manager,Agency Relations,,,claude_web,1,ai agency relationship manager
AI Agent Architect,Product/Strategy,,,claude_web;expanded,2,ai agent architect
AI Agent Developer,,,,expanded,1,ai agent developer
AI Agent Engineer,Core Technical Engineering,Mid-Senior,Task Automation Agents,expanded;gemini,2,ai agent engineer
AI Agent Product Manager,Product/Strategy,,,claude_web,1,ai agent product manager
AI Agile Coach,Agile Methodologies,,,claude_web,1,ai agile coach
AI Alignment Engineer,Research & Foundational Science,Mid-Senior,Model Alignment Verification,claude_web;gemini,2,ai alignment engineer
AI Alignment Researcher,Research & Foundational Science,Senior,Safety & Value Alignment,expanded;gemini,2,ai alignment researcher
AI Alumni Relations Manager,Alumni,,,claude_web,1,ai alumni relations manager
AI Ambassador,,,,expanded,1,ai ambassador
AI Ambassador Program Manager,Advocacy,,,claude_web,1,ai ambassador program manager
AI Analyst,,,,expanded,1,ai analyst
AI Analytics Engineer,Data-Related,,,original,1,ai analytics engineer
AI Animator,Animation,,,claude_web;expanded,2,ai animator
AI Annotation Specialist,,,,expanded,1,ai annotation specialist
AI Annotator,,,,expanded,1,ai annotator
AI Annual Fund Manager,Fundraising,,,claude_web,1,ai annual fund manager
AI Anti-Malware Specialist,Malware,,,claude_web,1,ai anti-malware specialist
AI Anti-Spam Specialist,Spam,,,claude_web,1,ai anti-spam specialist
AI API Security Specialist,API Security,,,claude_web,1,ai api security specialist
AI Application Architect,Application,,,claude_web,1,ai application architect
AI Application Security Engineer,AppSec,,,claude_web,1,ai application security engineer
AI Architect,Product/Strategy,,,claude_web;expanded,2,ai architect
AI Architecture Review Board Chair,Governance,,,claude_web,1,ai architecture review board chair
AI Art Director,Design & Creative,Lead,Creative Campaign Guidance,claude_web;gemini,2,ai art director
AI Artifact Management Engineer,Artifact Management,,,claude_web,1,ai artifact management engineer
AI Artist,,,,expanded,1,ai artist
AI Asset Management Specialist,Asset Management,,,claude_web,1,ai asset management specialist
AI Assurance Specialist,Governance/Safety/Ethics,,,claude_web,1,ai assurance specialist
AI Attack Simulation Specialist,Penetration Testing,,,claude_web,1,ai attack simulation specialist
AI Audio Engineer,,,,expanded,1,ai audio engineer
AI Audit Committee Chair,Governance,,,claude_web,1,ai audit committee chair
AI Audit Lead,Auditing,,,claude_web,1,ai audit lead
AI Audit Manager,Auditing,,,claude_web,1,ai audit manager
AI Audit Specialist,Governance & Ethics,Mid,Model Transparency & Fairness,gemini,1,ai audit specialist
AI Auditor,Governance/Safety/Ethics,,,claude_web;expanded,2,ai auditor
AI Automation Analyst,,,,expanded,1,ai automation analyst
AI Automation Engineer,,,,expanded,1,ai automation engineer
AI Automation Specialist,,,,expanded,1,ai automation specialist
AI AWS Specialist,Cloud,,,claude_web,1,ai aws specialist
AI Azure Specialist,Cloud,,,claude_web,1,ai azure specialist
AI Backend Developer,Backend,,,claude_web,1,ai backend developer
AI Backend Engineer,,,,expanded,1,ai backend engineer
AI Backup Specialist,Backup,,,claude_web,1,ai backup specialist
AI BCDR Specialist,BCDR,,,claude_web,1,ai bcdr specialist
AI Behavioral Analyst,,,,expanded,1,ai behavioral analyst
AI Benchmark Engineer,Benchmarking,,,claude_web,1,ai benchmark engineer
AI Benchmarking Analyst,Benchmarking,,,claude_web,1,ai benchmarking analyst
AI Benchmarking Specialist,Benchmarking,,,claude_web,1,ai benchmarking specialist
AI Benefits Administrator,Benefits,,,claude_web,1,ai benefits administrator
AI Benefits Analyst,Benefits,,,claude_web,1,ai benefits analyst
AI Best Boy,Cinematography,,,claude_web,1,ai best boy
AI Best Practices Manager,Best Practices,,,claude_web,1,ai best practices manager
AI Beta Testing Coordinator,Testing,,,claude_web,1,ai beta testing coordinator
AI Bias Auditor,Auditing,,,claude_web,1,ai bias auditor
AI Bias Mitigation Specialist,Governance/Safety/Ethics,,,claude_web;expanded,2,ai bias mitigation specialist
AI Billing Specialist,Billing,,,claude_web,1,ai billing specialist
AI Blog Editor,Content,,,claude_web,1,ai blog editor
AI Board Chair,Governance,,,claude_web,1,ai board chair
AI Board Member,Board,,,claude_web,1,ai board member
AI Boom Operator,Audio,,,claude_web,1,ai boom operator
AI Brand Ambassador Coordinator,Advocacy,,,claude_web,1,ai brand ambassador coordinator
AI Brand Manager,Brand Management,,,claude_web,1,ai brand manager
AI Brand Strategist,Brand Strategy,,,claude_web,1,ai brand strategist
AI Budget Manager,Finance,,,claude_web,1,ai budget manager
AI Bug Triage Specialist,Quality Assurance,,,claude_web,1,ai bug triage specialist
AI Build Engineer,DevOps,,,claude_web,1,ai build engineer
AI Business Analyst,Product & Program Management,Mid,Requirements & Automation,claude_web;gemini;original,3,ai business analyst
AI Business Automation Engineer,Core Technical Engineering,Senior,Enterprise Workflow Integration,gemini,1,ai business automation engineer
AI Business Continuity Manager,Business Continuity,,,claude_web,1,ai business continuity manager
AI Business Continuity Planner,Business Continuity,,,claude_web,1,ai business continuity planner
AI Business Development Manager,Business Development,,,claude_web,1,ai business development manager
AI Business Impact Analyst,Business Analysis,,,claude_web,1,ai business impact analyst
AI Business Partner,,,,expanded,1,ai business partner
AI Call Center Manager,Call Centers,,,claude_web,1,ai call center manager
AI Camera Operator,Videography,,,claude_web,1,ai camera operator
AI Campus Recruiter,Recruiting,,,claude_web,1,ai campus recruiter
AI Capacity Planner,Capacity Planning,,,claude_web,1,ai capacity planner
AI Capital Campaign Manager,Fundraising,,,claude_web,1,ai capital campaign manager
AI Carbon Footprint Analyst,Sustainability,,,claude_web,1,ai carbon footprint analyst
AI Career Counselor,Career Counseling,,,claude_web,1,ai career counselor
AI Career Development Manager,Career Development,,,claude_web,1,ai career development manager
AI CCO/Chief Compliance Officer AI,Executive,,,claude_web,1,ai cco chief compliance officer ai
AI CDN Specialist,Content Delivery,,,claude_web,1,ai cdn specialist
AI CEO/CAIO,Executive,,,claude_web,1,ai ceo caio
AI CFO/Chief Financial Officer AI,Executive,,,claude_web,1,ai cfo chief financial officer ai
AI Champion,Support Roles,,,original,1,ai champion
AI Change Impact Assessor,Change Management,,,claude_web,1,ai change impact assessor
AI Change Management Specialist,Change Management,,,claude_web,1,ai change management specialist
AI Channel Manager,Channel Management,,,claude_web,1,ai channel manager
AI Character Designer,Character Design,,,claude_web,1,ai character designer
AI Chatbot Developer,Core Technical Engineering,Mid,Conversational Systems,claude_web;expanded;gemini,3,ai chatbot developer
AI Chatbot Manager,Customer Service,,,claude_web,1,ai chatbot manager
AI Chief Risk Officer,Risk Management,,,claude_web,1,ai chief risk officer
AI Chip Designer,,,,expanded,1,ai chip designer
AI Cinematographer,Videography,,,claude_web,1,ai cinematographer
AI Circular Economy Specialist,Circular Economy,,,claude_web,1,ai circular economy specialist
AI CISO/Chief Information Security Officer AI,Executive,,,claude_web,1,ai ciso chief information security officer ai
AI Claims Specialist,Insurance Claims,,,claude_web,1,ai claims specialist
AI Cloud Administrator,Cloud,,,claude_web,1,ai cloud administrator
AI Cloud Architect,Architecture & Design,Senior,Cloud Compute Infrastructure,claude_web;gemini,2,ai cloud architect
AI CMO/Chief Marketing Officer AI,Executive,,,claude_web,1,ai cmo chief marketing officer ai
AI Coach,,,,expanded,1,ai coach
AI Coaching Program Manager,Coaching,,,claude_web,1,ai coaching program manager
AI CoE Lead,,,,expanded,1,ai coe lead
AI CoE Manager,,,,expanded,1,ai coe manager
AI College Relations Manager,College Relations,,,claude_web,1,ai college relations manager
AI Color Grader,Color Grading,,,claude_web,1,ai color grader
AI Columnist,Journalism,,,claude_web,1,ai columnist
AI Communication Manager,Communications,,,claude_web,1,ai communication manager
AI Community Advisory Council Member,Community,,,claude_web,1,ai community advisory council member
AI Community Liaison,Community Relations,,,claude_web,1,ai community liaison
AI Community Manager,Business & Sales,,,claude_web;original,2,ai community manager
AI Community Volunteer Manager,Community,,,claude_web,1,ai community volunteer manager
AI Compensation Committee Chair,Governance,,,claude_web,1,ai compensation committee chair
AI Competitive Analyst,Market Analysis,,,claude_web,1,ai competitive analyst
AI Compiler Engineer,Compiler Design,,,claude_web,1,ai compiler engineer
AI Compliance and Legal Advisor,,,,expanded,1,ai compliance and legal advisor
AI Compliance Manager,Governance/Safety/Ethics,,,claude_web;expanded,2,ai compliance manager
AI Compliance Officer,Governance & Ethics,Mid-Senior,Legal & Regulatory Auditing,claude_web;gemini;original,3,ai compliance officer
AI Compliance Specialist,Governance & Ethics,,,claude_web;original,2,ai compliance specialist
AI Compositor,Compositing,,,claude_web,1,ai compositor
AI Compute Infrastructure Lead,Infrastructure & Operations,Lead,Data Center Compute,gemini,1,ai compute infrastructure lead
AI Concept Artist,Concept Art,,,claude_web,1,ai concept artist
AI Condition Monitoring Specialist,Condition Monitoring,,,claude_web,1,ai condition monitoring specialist
AI Configuration Management Specialist,Configuration Management,,,claude_web,1,ai configuration management specialist
AI Configuration Manager,DevOps,,,claude_web,1,ai configuration manager
AI Consultant,Business & Sales,,,claude_web;original,2,ai consultant
AI Consultant Manager,,,,expanded,1,ai consultant manager
AI Consulting Partner Manager,Consulting,,,claude_web,1,ai consulting partner manager
AI Container Orchestration Engineer,Containerization,,,claude_web,1,ai container orchestration engineer
AI Content Auditor,,,,expanded,1,ai content auditor
AI Content Creator,Design & Creative,Entry-Mid,Generative Copy & Media,claude_web;gemini,2,ai content creator
AI Content Editor,Content,,,claude_web;expanded,2,ai content editor
AI Content Experience Engineer,,,,expanded,1,ai content experience engineer
AI Content Manager,,,,expanded,1,ai content manager
AI Content Moderator,,,,expanded,1,ai content moderator
AI Content Red Team Lead,,,,expanded,1,ai content red team lead
AI Content Strategist,Design & Creative,Mid,Marketing Automation,claude_web;gemini,2,ai content strategist
AI Content Writer,,,,expanded,1,ai content writer
AI Contingency Recruiter,Recruiting,,,claude_web,1,ai contingency recruiter
AI Continuity Supervisor,Supervision,,,claude_web,1,ai continuity supervisor
AI Contract Manager,Contracts,,,claude_web,1,ai contract manager
AI Contract Staffing Manager,Contract Staffing,,,claude_web,1,ai contract staffing manager
AI Control Assessor,Controls,,,claude_web,1,ai control assessor
AI Conversion Rate Optimizer,Optimization,,,claude_web,1,ai conversion rate optimizer
AI COO/Chief Operations Officer AI,Executive,,,claude_web,1,ai coo chief operations officer ai
AI Copyright Specialist,Intellectual Property,,,claude_web,1,ai copyright specialist
AI Copywriter,Design & Creative,Entry-Mid,Natural Language Generation,claude_web;expanded;gemini,3,ai copywriter
AI Corporate Communications Manager,Corporate Communications,,,claude_web,1,ai corporate communications manager
AI Corporate Social Responsibility Manager,CSR,,,claude_web,1,ai corporate social responsibility manager
AI Corporate Venture Manager,Corporate Venture Capital,,,claude_web,1,ai corporate venture manager
AI Cost Optimization Engineer,Cost Management,,,claude_web,1,ai cost optimization engineer
AI Costume Designer,Costume Design,,,claude_web,1,ai costume designer
AI Course Developer,Course Development,,,claude_web,1,ai course developer
AI Craft Services Manager,Catering,,,claude_web,1,ai craft services manager
AI Creative Director,Design & Creative,Director,Generative Branding & Media,claude_web;gemini,2,ai creative director
AI Creative Strategist,,,,expanded,1,ai creative strategist
AI Crisis Communications Manager,Communications,,,claude_web,1,ai crisis communications manager
AI Crisis Manager,Crisis Management,,,claude_web,1,ai crisis manager
AI CTO/Chief Technology Officer AI,Executive,,,claude_web,1,ai cto chief technology officer ai
AI Curriculum Designer,Curriculum Design,,,claude_web,1,ai curriculum designer
AI Curriculum Developer,,,,expanded,1,ai curriculum developer
AI Customer Experience Manager,Customer Experience,,,claude_web,1,ai customer experience manager
AI Customer Experience Strategist,,,,expanded,1,ai customer experience strategist
AI Customer Service Manager,Customer Service,,,claude_web,1,ai customer service manager
AI Customer Success Engineer,Customer Success,,,claude_web,1,ai customer success engineer
AI Customer Success Manager,,,,expanded,1,ai customer success manager
AI Data Analyst,Data-Related,,,claude_web;original,2,ai data analyst
AI Data Architect,Data,,,claude_web,1,ai data architect
AI Data Engineer,,,,expanded,1,ai data engineer
AI Data Lineage Engineer,Data Lineage,,,claude_web,1,ai data lineage engineer
AI Data Pipeline Engineer,Data Engineering,,,claude_web,1,ai data pipeline engineer
AI Data Protection Officer,Data Protection,,,claude_web,1,ai data protection officer
AI Data Specialist,AI Training/Annotation,,,claude_web;expanded,2,ai data specialist
AI Database Administrator,Databases,,,claude_web,1,ai database administrator
AI Debugger Engineer,Debugging Tools,,,claude_web,1,ai debugger engineer
AI Decommissioning Manager,Decommissioning,,,claude_web,1,ai decommissioning manager
AI Delivery Engineer,Core Technical Engineering,Senior,End-to-End Solution Shipping,gemini,1,ai delivery engineer
AI Delivery Lead,,,,expanded,1,ai delivery lead
AI Delivery Manager,Delivery,,,claude_web;expanded,2,ai delivery manager
AI Deployment Manager,Deployment,,,claude_web,1,ai deployment manager
AI Deployment Specialist,Deployment,,,claude_web,1,ai deployment specialist
AI Developer,Core AI/ML Engineering,,,claude_web;expanded,2,ai developer
AI Developer Advocate,Developer Relations,Mid-Senior,Community & SDK Enablement,claude_web;expanded;gemini,3,ai developer advocate
AI Development Tools Engineer,Development Tools,,,claude_web,1,ai development tools engineer
AI DevOps Engineer,DevOps,,,claude_web,1,ai devops engineer
AI Diagnostics Engineer,Diagnostics,,,claude_web,1,ai diagnostics engineer
AI Digital Forensics Specialist,Digital Forensics,,,claude_web,1,ai digital forensics specialist
AI Director,Film/Video Direction,,,claude_web,1,ai director
AI Disaster Recovery Manager,DR,,,claude_web,1,ai disaster recovery manager
AI Disaster Recovery Specialist,Disaster Recovery,,,claude_web,1,ai disaster recovery specialist
AI Disclosure Officer,Transparency,,,claude_web,1,ai disclosure officer
AI Diversity Coordinator,Diversity,,,claude_web,1,ai diversity coordinator
AI Diversity Fellowship Coordinator,Diversity,,,claude_web,1,ai diversity fellowship coordinator
AI DNS Administrator,Networking,,,claude_web,1,ai dns administrator
AI Docker Specialist,Containerization,,,claude_web,1,ai docker specialist
AI Documentation Engineer,Technical Writing,,,claude_web,1,ai documentation engineer
AI Documentation Specialist,Support Roles,,,claude_web;original,2,ai documentation specialist
AI Dolly Grip,Cinematography,,,claude_web,1,ai dolly grip
AI Donor Relations Manager,Development,,,claude_web,1,ai donor relations manager
AI Donor Stewardship Manager,Donor Relations,,,claude_web,1,ai donor stewardship manager
AI Drug Discovery Scientist,,,,expanded,1,ai drug discovery scientist
AI E-Waste Manager,Sustainability,,,claude_web,1,ai e-waste manager
AI Early Access Program Manager,Early Access,,,claude_web,1,ai early access program manager
AI Editorial Manager,Editorial,,,claude_web,1,ai editorial manager
AI Educational Content Creator,Educational Content,,,claude_web,1,ai educational content creator
AI Educator,Education,,,claude_web,1,ai educator
AI Enablement & Literacy Lead,Product/Strategy,,,claude_web,1,ai enablement literacy lead
AI Enablement and Adoption Manager,,,,expanded,1,ai enablement and adoption manager
AI Enablement Lead,,,,expanded,1,ai enablement lead
AI Endowment Manager,Finance,,,claude_web,1,ai endowment manager
AI Endpoint Security Manager,Endpoint Security,,,claude_web,1,ai endpoint security manager
AI Energy Efficiency Auditor,Energy Management,,,claude_web,1,ai energy efficiency auditor
AI Engineer,Core Technical Engineering,Mid-Senior,API & Product Integration,claude_web;gemini;original,3,ai engineer
AI Engineering Manager,Executive & Strategy,Manager,Technical Team Leadership,expanded;gemini,2,ai engineering manager
AI Enterprise Applications Specialist,,,,expanded,1,ai enterprise applications specialist
AI Enterprise Architect,Enterprise Architecture,,,claude_web,1,ai enterprise architect
AI Entrepreneur,Specialized Roles,,,original,1,ai entrepreneur
AI Environmental Impact Specialist,Environmental,,,claude_web,1,ai environmental impact specialist
AI Equipment Health Manager,Asset Management,,,claude_web,1,ai equipment health manager
AI Equity Specialist,Equity,,,claude_web,1,ai equity specialist
AI Ethicist,Governance & Ethics,Mid-Senior,Ethical Alignment,claude_web;gemini;original,3,ai ethicist
AI Ethics & Compliance Officer,,,,expanded,1,ai ethics compliance officer
AI Ethics & Governance Specialist,Governance & Ethics,,,original,1,ai ethics governance specialist
AI Ethics Advisor,Ethics,,,claude_web,1,ai ethics advisor
AI Ethics and Compliance Officer,Governance/Safety/Ethics,,,claude_web,1,ai ethics and compliance officer
AI Ethics Board Member,Ethics,,,claude_web,1,ai ethics board member
AI Ethics Officer,Governance & Ethics,,,claude_web;original,2,ai ethics officer
AI Ethics Program Manager,,,,expanded,1,ai ethics program manager
AI Ethics Researcher,Governance & Ethics,Senior,Ethical Framework Development,expanded;gemini,2,ai ethics researcher
AI Ethics Specialist,Governance & Ethics,,,original,1,ai ethics specialist
AI Evals Engineer,,,,expanded,1,ai evals engineer
