Job Title,Category,Seniority Level,Domain Focus,Sources,Source Count
3D Modeling AI Engineer,3D Graphics,,,claude_web,1
Accountability AI Specialist,Accountability,,,claude_web,1
Actuarial AI Analyst,Insurance,,,claude_web,1
Adversarial AI Researcher,Robustness,,,claude_web,1
Agent Engineer,Core AI/ML Engineering,,,claude_web,1
Agent Systems Engineer,Agentic Systems,,,claude_web,1
Agentic AI Architect,Architecture & Design,Principal,Agentic Frameworks,gemini,1
Agentic AI Engineer,Core AI/ML Engineering,,,claude_web;expanded,2
Agentic AI Governance Lead,,,,expanded,1
Agentic AI Product Manager,,,,expanded,1
Agentic AI Research Engineer,Agentic Systems,,,claude_web,1
Agentic AI Risk Analyst,,,,expanded,1
Agentic AI Specialist,Agentic Systems,,,claude_web;expanded,2
AgentOps Engineer,MLOps/Infrastructure,,,claude_web,1
Agricultural AI Engineer,Agriculture,,,claude_web,1
AI A/B Testing Specialist,Testing,,,claude_web,1
AI Acceleration Engineer,Performance,,,claude_web,1
AI Accelerator Manager,Startup Acceleration,,,claude_web,1
AI Accessibility Auditor,Accessibility,,,claude_web,1
AI Accessibility Specialist,Accessibility,,,claude_web,1
AI Account Executive,,,,expanded,1
AI Account Manager,Account Management,,,claude_web,1
AI Accountant,Accounting,,,claude_web,1
AI Accuracy Auditor,Quality Assurance,,,claude_web,1
AI Acquisition Analyst,Mergers & Acquisitions,,,claude_web,1
AI Acting Coach,Coaching,,,claude_web,1
AI Actor,Acting,,,claude_web,1
AI Actuary,Insurance,,,claude_web,1
AI Admissions Advisor,Admissions,,,claude_web,1
AI Adoption and Employee Experience Lead,,,,expanded,1
AI Adoption Manager,,,,expanded,1
AI Adoption Specialist,,,,expanded,1
AI Advisor,,,,expanded,1
AI Advisory Board Member,Advisory,,,claude_web,1
AI Advocacy Coordinator,Advocacy,,,claude_web,1
AI Advocacy Manager,Business & Sales,,,original,1
AI Affiliate Manager,Affiliate,,,claude_web,1
AI Agency Relationship Manager,Agency Relations,,,claude_web,1
AI Agent Architect,Product/Strategy,,,claude_web;expanded,2
AI Agent Developer,,,,expanded,1
AI Agent Engineer,Core Technical Engineering,Mid-Senior,Task Automation Agents,expanded;gemini,2
AI Agent Product Manager,Product/Strategy,,,claude_web,1
AI Agile Coach,Agile Methodologies,,,claude_web,1
AI Alignment Engineer,Research & Foundational Science,Mid-Senior,Model Alignment Verification,claude_web;gemini,2
AI Alignment Researcher,Research & Foundational Science,Senior,Safety & Value Alignment,expanded;gemini,2
AI Alumni Relations Manager,Alumni,,,claude_web,1
AI Ambassador,,,,expanded,1
AI Ambassador Program Manager,Advocacy,,,claude_web,1
AI Analyst,,,,expanded,1
AI Analytics Engineer,Data-Related,,,original,1
AI Animator,Animation,,,claude_web;expanded,2
AI Annotation Specialist,,,,expanded,1
AI Annotator,,,,expanded,1
AI Annual Fund Manager,Fundraising,,,claude_web,1
AI Anti-Malware Specialist,Malware,,,claude_web,1
AI Anti-Spam Specialist,Spam,,,claude_web,1
AI API Security Specialist,API Security,,,claude_web,1
AI Application Architect,Application,,,claude_web,1
AI Application Security Engineer,AppSec,,,claude_web,1
AI Architect,Product/Strategy,,,claude_web;expanded,2
AI Architecture Review Board Chair,Governance,,,claude_web,1
AI Art Director,Design & Creative,Lead,Creative Campaign Guidance,claude_web;gemini,2
AI Artifact Management Engineer,Artifact Management,,,claude_web,1
AI Artist,,,,expanded,1
AI Asset Management Specialist,Asset Management,,,claude_web,1
AI Assurance Specialist,Governance/Safety/Ethics,,,claude_web,1
AI Attack Simulation Specialist,Penetration Testing,,,claude_web,1
AI Audio Engineer,,,,expanded,1
AI Audit Committee Chair,Governance,,,claude_web,1
AI Audit Lead,Auditing,,,claude_web,1
AI Audit Manager,Auditing,,,claude_web,1
AI Audit Specialist,Governance & Ethics,Mid,Model Transparency & Fairness,gemini,1
AI Auditor,Governance/Safety/Ethics,,,claude_web;expanded,2
AI Automation Analyst,,,,expanded,1
AI Automation Engineer,,,,expanded,1
AI Automation Specialist,,,,expanded,1
AI AWS Specialist,Cloud,,,claude_web,1
AI Azure Specialist,Cloud,,,claude_web,1
AI Backend Developer,Backend,,,claude_web,1
AI Backend Engineer,,,,expanded,1
AI Backup Specialist,Backup,,,claude_web,1
AI BCDR Specialist,BCDR,,,claude_web,1
AI Behavioral Analyst,,,,expanded,1
AI Benchmark Engineer,Benchmarking,,,claude_web,1
AI Benchmarking Analyst,Benchmarking,,,claude_web,1
AI Benchmarking Specialist,Benchmarking,,,claude_web,1
AI Benefits Administrator,Benefits,,,claude_web,1
AI Benefits Analyst,Benefits,,,claude_web,1
AI Best Boy,Cinematography,,,claude_web,1
AI Best Practices Manager,Best Practices,,,claude_web,1
AI Beta Testing Coordinator,Testing,,,claude_web,1
AI Bias Auditor,Auditing,,,claude_web,1
AI Bias Mitigation Specialist,Governance/Safety/Ethics,,,claude_web;expanded,2
AI Billing Specialist,Billing,,,claude_web,1
AI Blog Editor,Content,,,claude_web,1
AI Board Chair,Governance,,,claude_web,1
AI Board Member,Board,,,claude_web,1
AI Boom Operator,Audio,,,claude_web,1
AI Brand Ambassador Coordinator,Advocacy,,,claude_web,1
AI Brand Manager,Brand Management,,,claude_web,1
AI Brand Strategist,Brand Strategy,,,claude_web,1
AI Budget Manager,Finance,,,claude_web,1
AI Bug Triage Specialist,Quality Assurance,,,claude_web,1
AI Build Engineer,DevOps,,,claude_web,1
AI Business Analyst,Product & Program Management,Mid,Requirements & Automation,claude_web;gemini;original,3
AI Business Automation Engineer,Core Technical Engineering,Senior,Enterprise Workflow Integration,gemini,1
AI Business Continuity Manager,Business Continuity,,,claude_web,1
AI Business Continuity Planner,Business Continuity,,,claude_web,1
AI Business Development Manager,Business Development,,,claude_web,1
AI Business Impact Analyst,Business Analysis,,,claude_web,1
AI Business Partner,,,,expanded,1
AI Call Center Manager,Call Centers,,,claude_web,1
AI Camera Operator,Videography,,,claude_web,1
AI Campus Recruiter,Recruiting,,,claude_web,1
AI Capacity Planner,Capacity Planning,,,claude_web,1
AI Capital Campaign Manager,Fundraising,,,claude_web,1
AI Carbon Footprint Analyst,Sustainability,,,claude_web,1
AI Career Counselor,Career Counseling,,,claude_web,1
AI Career Development Manager,Career Development,,,claude_web,1
AI CCO/Chief Compliance Officer AI,Executive,,,claude_web,1
AI CDN Specialist,Content Delivery,,,claude_web,1
AI CEO/CAIO,Executive,,,claude_web,1
AI CFO/Chief Financial Officer AI,Executive,,,claude_web,1
AI Champion,Support Roles,,,original,1
AI Change Impact Assessor,Change Management,,,claude_web,1
AI Change Management Specialist,Change Management,,,claude_web,1
AI Channel Manager,Channel Management,,,claude_web,1
AI Character Designer,Character Design,,,claude_web,1
AI Chatbot Developer,Core Technical Engineering,Mid,Conversational Systems,claude_web;expanded;gemini,3
AI Chatbot Manager,Customer Service,,,claude_web,1
AI Chief Risk Officer,Risk Management,,,claude_web,1
AI Chip Designer,,,,expanded,1
AI Cinematographer,Videography,,,claude_web,1
AI Circular Economy Specialist,Circular Economy,,,claude_web,1
AI CISO/Chief Information Security Officer AI,Executive,,,claude_web,1
AI Claims Specialist,Insurance Claims,,,claude_web,1
AI Cloud Administrator,Cloud,,,claude_web,1
AI Cloud Architect,Architecture & Design,Senior,Cloud Compute Infrastructure,claude_web;gemini,2
AI CMO/Chief Marketing Officer AI,Executive,,,claude_web,1
AI Coach,,,,expanded,1
AI Coaching Program Manager,Coaching,,,claude_web,1
AI CoE Lead,,,,expanded,1
AI CoE Manager,,,,expanded,1
AI College Relations Manager,College Relations,,,claude_web,1
AI Color Grader,Color Grading,,,claude_web,1
AI Columnist,Journalism,,,claude_web,1
AI Communication Manager,Communications,,,claude_web,1
AI Community Advisory Council Member,Community,,,claude_web,1
AI Community Liaison,Community Relations,,,claude_web,1
AI Community Manager,Business & Sales,,,claude_web;original,2
AI Community Volunteer Manager,Community,,,claude_web,1
AI Compensation Committee Chair,Governance,,,claude_web,1
AI Competitive Analyst,Market Analysis,,,claude_web,1
AI Compiler Engineer,Compiler Design,,,claude_web,1
AI Compliance and Legal Advisor,,,,expanded,1
AI Compliance Manager,Governance/Safety/Ethics,,,claude_web;expanded,2
AI Compliance Officer,Governance & Ethics,Mid-Senior,Legal & Regulatory Auditing,claude_web;gemini;original,3
AI Compliance Specialist,Governance & Ethics,,,claude_web;original,2
AI Compositor,Compositing,,,claude_web,1
AI Compute Infrastructure Lead,Infrastructure & Operations,Lead,Data Center Compute,gemini,1
AI Concept Artist,Concept Art,,,claude_web,1
AI Condition Monitoring Specialist,Condition Monitoring,,,claude_web,1
AI Configuration Management Specialist,Configuration Management,,,claude_web,1
AI Configuration Manager,DevOps,,,claude_web,1
AI Consultant,Business & Sales,,,claude_web;original,2
AI Consultant Manager,,,,expanded,1
AI Consulting Partner Manager,Consulting,,,claude_web,1
AI Container Orchestration Engineer,Containerization,,,claude_web,1
AI Content Auditor,,,,expanded,1
AI Content Creator,Design & Creative,Entry-Mid,Generative Copy & Media,claude_web;gemini,2
AI Content Editor,Content,,,claude_web;expanded,2
AI Content Experience Engineer,,,,expanded,1
AI Content Manager,,,,expanded,1
AI Content Moderator,,,,expanded,1
AI Content Red Team Lead,,,,expanded,1
AI Content Strategist,Design & Creative,Mid,Marketing Automation,claude_web;gemini,2
AI Content Writer,,,,expanded,1
AI Contingency Recruiter,Recruiting,,,claude_web,1
AI Continuity Supervisor,Supervision,,,claude_web,1
AI Contract Manager,Contracts,,,claude_web,1
AI Contract Staffing Manager,Contract Staffing,,,claude_web,1
AI Control Assessor,Controls,,,claude_web,1
AI Conversion Rate Optimizer,Optimization,,,claude_web,1
AI COO/Chief Operations Officer AI,Executive,,,claude_web,1
AI Copyright Specialist,Intellectual Property,,,claude_web,1
AI Copywriter,Design & Creative,Entry-Mid,Natural Language Generation,claude_web;expanded;gemini,3
AI Corporate Communications Manager,Corporate Communications,,,claude_web,1
AI Corporate Social Responsibility Manager,CSR,,,claude_web,1
AI Corporate Venture Manager,Corporate Venture Capital,,,claude_web,1
