Job Title,Category
AI Engineer,Core AI
Machine Learning Engineer,Core AI
Deep Learning Engineer,Specialized Technical
Data Scientist,Data-Related
NLP Engineer,Specialized Technical
AI Specialist,Core AI
MLOps Engineer,Operations & Infrastructure
AI Ethicist,Emerging Roles
AI Product Manager,Leadership & Strategy
Prompt Engineer,Emerging Roles
Computer Vision Engineer,Specialized Technical
Data Analyst,Data-Related
Data Engineer,Data-Related
Algorithm Developer,Specialized Technical
AI Product Analyst,Emerging Roles
AI Software Developer,Core AI
AI Market Research Analyst,Emerging Roles
AI Compliance Officer,Governance & Ethics
AI Entrepreneur,Specialized Roles
AI Sales Consultant,Business & Sales
Research Assistant,Entry-Level
Technical Program Manager,Management
AI Champion,Support Roles
Context Engineer,Emerging Roles
Trust Engineer,Emerging Roles
AI Reliability Engineer,Operations & Infrastructure
AI Ethics Officer,Governance & Ethics
Chief AI Officer,Leadership & Strategy
Machine Learning Scientist,Core AI
AI Research Scientist,Core AI
AI Solutions Architect,Leadership & Strategy
Reinforcement Learning Engineer,Specialized Technical
AI/ML Architect,Leadership & Strategy
Head of Machine Learning,Leadership & Strategy
AI Ethics Specialist,Governance & Ethics
Applied AI Engineer,Core AI
Generative AI Engineer,Specialized Technical
LLM Engineer,Specialized Technical
RAG Engineer,Specialized Technical
AI Systems Engineer,Specialized Technical
AI Platform Engineer,Operations & Infrastructure
AI Infrastructure Engineer,Operations & Infrastructure
Model Deployment Engineer,Operations & Infrastructure
LLMOps Engineer,Operations & Infrastructure
AI Strategist,Leadership & Strategy
Head of AI,Leadership & Strategy
Generative AI Infrastructure Engineer,Operations & Infrastructure
LLM Prompt Engineer,Specialized Technical
AI Ethics & Governance Specialist,Governance & Ethics
MLOps Platform Architect,Operations & Infrastructure
LLM Fine-Tuning Specialist,Specialized Technical
NLP Specialist,Specialized Technical
Machine Learning Operations Engineer,Operations & Infrastructure
Data Quality Specialist,Data-Related
AI Research Engineer,Core AI
AI Business Analyst,Business & Sales
AI Consultant,Business & Sales
ML Quality Assurance Engineer,Quality & Testing
AI Data Analyst,Data-Related
Conversational AI Engineer,Specialized Technical
Computer Vision Researcher,Specialized Technical
AI Training Specialist,Specialized Technical
AI Validation Engineer,Quality & Testing
Natural Language Processing Specialist,Specialized Technical
Speech Recognition Engineer,Specialized Technical
AI Performance Analyst,Quality & Testing
Machine Learning Architect,Leadership & Strategy
AI Test Engineer,Quality & Testing
Responsible AI Engineer,Governance & Ethics
AI Governance Officer,Governance & Ethics
AI Operations Manager,Management
Machine Learning Operations Manager,Management
Artificial Intelligence Engineer,Core AI
ML Pipeline Engineer,Operations & Infrastructure
AI Infrastructure Architect,Leadership & Strategy
AI Security Engineer,Specialized Technical
Machine Learning Researcher,Core AI
Federated Learning Engineer,Specialized Technical
Edge AI Engineer,Specialized Technical
Quantum AI Engineer,Specialized Technical
AI Fairness Engineer,Governance & Ethics
Model Explainability Engineer,Specialized Technical
AI Documentation Specialist,Support Roles
AI Technical Writer,Support Roles
AI Implementation Engineer,Specialized Technical
AI Integration Specialist,Specialized Technical
AI Quality Engineer,Quality & Testing
AI Performance Engineer,Quality & Testing
Machine Learning Model Engineer,Core AI
AI Workflow Engineer,Operations & Infrastructure
Autonomous AI Engineer,Specialized Technical
Cognitive AI Engineer,Specialized Technical
AI Analytics Engineer,Data-Related
Machine Learning Systems Engineer,Specialized Technical
AI Risk Analyst,Governance & Ethics
AI Compliance Specialist,Governance & Ethics
AI Standards Engineer,Governance & Ethics
Responsible AI Officer,Governance & Ethics
AI Advocacy Manager,Business & Sales
AI Community Manager,Business & Sales
